Malus_Prunus	Peach_Cherry	SubA___fruticosa	Pavium_Pfruticosa	SubA_Pfruticosa	SubB_Pavium
95.00	15.84	10.97	8.95	1.63	2.05
95.00	15.33	10.69	8.63	1.41	2.19
95.00	15.33	10.68	8.53	1.50	1.93
95.00	15.59	10.93	8.53	1.62	2.05
95.00	15.22	11.03	8.98	1.83	2.32
95.00	15.61	11.35	9.02	1.72	1.87
95.00	15.12	10.66	8.81	1.63	2.00
95.00	15.59	10.99	8.60	1.54	1.82
95.00	15.31	10.79	8.91	1.70	2.01
95.00	15.01	11.10	8.63	1.63	2.00
95.00	15.73	11.06	8.84	1.68	1.90
95.00	15.80	10.99	8.90	1.67	2.02
95.00	15.34	10.76	8.59	1.68	2.01
95.00	14.94	10.88	8.81	1.92	2.14
95.00	15.47	11.12	8.58	1.59	2.23
95.00	15.81	11.19	8.72	1.60	2.04
95.00	15.88	11.29	8.98	1.65	1.85
95.00	15.80	11.56	9.07	1.66	2.07
95.00	15.31	10.68	8.71	1.50	2.07
95.00	15.65	10.82	8.69	1.60	2.09
95.00	15.73	10.70	8.52	1.93	1.95
95.00	15.72	11.19	8.85	1.69	1.91
95.00	15.72	11.01	8.95	1.56	2.23
95.00	15.37	10.88	8.47	1.48	1.71
95.00	15.37	11.39	9.09	1.80	2.10
95.00	15.70	11.49	9.12	1.46	2.22
95.00	15.69	11.69	9.25	1.72	2.00
95.00	15.23	10.78	8.74	1.59	2.01
95.00	15.38	11.01	8.97	1.48	2.20
95.00	15.39	10.78	8.66	1.53	2.08
95.00	15.07	10.47	8.53	1.58	2.08
95.00	15.61	11.63	9.42	1.57	2.16
95.00	15.53	10.76	8.66	1.66	2.15
95.00	15.79	11.30	9.00	1.65	2.04
95.00	15.53	11.08	8.87	1.49	1.95
95.00	15.12	11.00	8.98	1.49	2.05
95.00	15.34	11.23	8.77	1.79	2.17
95.00	15.20	10.79	8.43	1.52	1.88
95.00	15.44	11.19	8.91	1.64	1.89
95.00	15.43	11.43	9.16	1.54	2.08
95.00	15.43	10.78	8.60	1.73	1.76
95.00	15.37	11.04	8.83	1.69	2.13
95.00	15.44	10.83	8.31	1.51	1.95
95.00	14.86	10.79	8.61	1.61	2.15
95.00	15.47	10.55	8.26	1.50	1.88
95.00	15.63	10.77	8.51	1.68	2.30
95.00	15.40	10.91	8.62	1.67	2.08
95.00	15.78	11.23	9.01	1.60	1.91
95.00	16.18	11.87	9.25	1.85	2.07
95.00	16.28	11.48	9.17	1.71	2.26
95.00	15.57	11.17	9.06	1.56	2.11
95.00	15.10	10.65	8.49	1.79	2.21
95.00	15.78	11.16	8.69	1.38	2.30
95.00	15.35	10.96	8.73	1.55	1.99
95.00	15.57	11.39	9.01	1.49	1.97
95.00	15.67	11.32	9.15	1.34	2.11
95.00	15.49	10.77	8.67	1.71	2.10
95.00	15.80	11.49	8.92	1.71	2.39
95.00	15.66	11.41	9.29	1.58	2.05
95.00	15.51	11.01	8.71	1.60	2.09
95.00	15.83	11.41	8.92	1.50	2.15
95.00	15.19	10.85	8.66	1.50	2.17
95.00	15.13	10.43	8.36	1.37	2.00
95.00	15.62	11.29	8.95	1.76	2.25
95.00	15.41	10.96	8.52	1.72	2.23
95.00	15.17	10.91	8.93	1.60	2.10
95.00	15.88	11.51	8.86	1.55	2.23
95.00	15.41	11.25	8.95	1.80	2.09
95.00	15.54	10.93	8.74	1.52	2.07
95.00	15.49	11.10	8.82	1.31	2.16
95.00	15.63	11.09	8.87	1.46	1.83
95.00	15.43	11.16	8.84	1.59	1.96
95.00	15.50	10.81	8.63	1.64	2.00
95.00	15.73	11.40	9.19	1.72	2.12
95.00	15.78	11.19	8.79	1.42	1.93
95.00	15.48	10.98	8.54	1.67	2.35
95.00	15.26	10.85	8.70	1.69	2.12
95.00	15.17	10.91	8.64	1.67	2.12
95.00	15.64	11.34	8.95	1.63	1.88
95.00	15.58	10.95	8.69	1.44	1.94
95.00	15.80	11.07	8.85	1.56	2.07
95.00	15.93	11.26	9.07	1.53	2.06
95.00	15.45	10.96	8.89	1.97	1.99
95.00	15.57	11.25	8.81	1.54	1.92
95.00	15.05	10.43	8.39	1.55	1.83
95.00	15.44	10.85	8.46	1.58	2.12
95.00	15.12	11.04	9.10	1.62	2.01
95.00	15.27	10.74	8.57	1.51	1.87
95.00	14.94	11.00	8.70	1.68	2.01
95.00	15.83	10.84	8.73	1.63	1.99
95.00	14.98	10.22	8.19	1.62	1.97
95.00	15.97	11.56	9.02	1.56	2.16
95.00	15.25	10.91	8.58	1.62	2.01
95.00	15.86	10.86	8.60	1.66	2.05
95.00	15.30	11.19	9.10	1.50	2.21
95.00	15.12	10.54	8.26	1.53	1.85
95.00	15.20	10.95	8.74	1.75	2.22
95.00	15.29	10.73	8.71	1.47	1.92
95.00	15.66	11.35	9.07	1.66	2.17
95.00	15.53	11.00	8.56	1.57	2.03
95.00	15.64	11.44	9.04	1.59	2.08
95.00	15.39	10.94	8.63	1.50	1.93
95.00	15.15	10.90	8.87	1.52	2.13
95.00	15.27	10.47	8.30	1.71	2.11
95.00	15.94	11.27	8.78	1.49	1.98
95.00	15.85	11.21	8.78	1.64	2.00
95.00	15.46	11.04	8.74	1.72	2.19
95.00	15.40	10.94	8.63	1.49	2.21
95.00	15.70	10.84	8.42	1.59	1.99
95.00	15.36	11.19	8.83	1.66	2.23
95.00	15.70	11.13	8.89	1.55	2.00
95.00	15.52	11.22	8.80	1.70	1.97
