Malus_Prunus	Peach_Cherry	Pavium_Pfruticosa	SubA_Pavium	subA___Pfruticosa	subB_Pavium
95.00	15.25	11.45	8.88	4.47	1.74
95.00	15.10	11.03	8.46	4.12	1.69
95.00	15.58	11.50	8.74	4.56	1.68
95.00	14.99	11.15	8.79	4.25	1.64
95.00	15.05	11.11	8.37	4.45	1.61
95.00	15.32	11.34	8.63	4.50	1.67
95.00	15.38	11.32	8.88	4.51	1.79
95.00	15.07	11.17	8.63	4.28	1.91
95.00	14.98	11.25	8.88	4.50	1.81
95.00	15.04	11.41	8.78	4.58	1.80
95.00	15.34	11.48	8.83	4.62	1.62
95.00	15.41	11.41	8.95	4.57	1.94
95.00	15.04	11.31	8.76	4.64	1.70
95.00	14.93	11.35	8.75	4.54	1.89
95.00	15.21	10.95	8.28	4.29	1.60
95.00	15.01	11.10	8.56	4.54	1.83
95.00	15.44	11.33	8.54	4.49	1.90
95.00	15.38	11.56	8.84	4.73	1.84
95.00	15.22	11.42	8.58	4.44	1.71
95.00	15.16	11.15	8.69	4.42	1.54
95.00	15.44	11.43	8.90	4.44	1.93
95.00	15.60	11.50	8.50	4.51	1.68
95.00	15.00	10.79	8.63	4.27	1.63
95.00	15.11	11.38	8.49	4.27	1.77
95.00	15.55	11.75	8.81	4.59	1.70
95.00	15.16	10.85	8.51	4.43	1.81
95.00	15.50	11.31	8.81	4.43	1.77
95.00	15.42	11.44	8.76	4.64	1.80
95.00	15.33	11.15	8.71	4.39	1.84
95.00	15.04	11.13	8.53	4.35	1.71
95.00	15.09	11.24	8.59	4.22	1.70
95.00	15.31	11.33	8.64	4.38	1.81
95.00	15.20	11.43	8.72	4.55	1.74
95.00	15.34	11.41	8.75	4.37	1.69
95.00	14.95	11.20	8.75	4.53	1.76
95.00	15.27	11.41	8.86	4.50	1.65
95.00	15.16	11.38	8.68	4.59	1.80
95.00	15.03	11.33	8.77	4.61	1.77
95.00	15.05	11.06	8.62	4.38	1.63
95.00	15.47	11.52	9.10	4.51	1.71
95.00	15.26	11.58	9.15	4.58	1.79
95.00	15.42	11.57	8.87	4.56	1.76
95.00	15.53	11.73	8.81	4.66	1.83
95.00	15.07	11.40	8.90	4.62	1.80
95.00	15.02	11.27	8.76	4.48	1.71
95.00	15.25	11.37	8.78	4.46	1.78
95.00	15.63	11.35	8.78	4.51	1.71
95.00	15.59	11.36	8.76	4.53	1.94
95.00	15.25	11.06	8.37	4.32	1.69
95.00	15.10	10.92	8.36	4.42	1.64
95.00	15.48	11.44	8.82	4.50	1.63
95.00	15.21	11.40	8.80	4.61	1.67
95.00	14.91	11.04	8.72	4.34	1.88
95.00	15.23	11.29	8.85	4.15	1.73
95.00	15.31	11.25	8.47	4.32	1.73
95.00	15.17	10.87	8.42	4.37	1.59
95.00	15.10	11.21	8.74	4.37	1.67
95.00	15.14	11.39	8.92	4.65	1.70
95.00	14.89	11.10	8.55	4.53	1.60
95.00	15.58	11.51	8.80	4.58	1.66
95.00	14.91	10.99	8.25	4.25	1.74
95.00	15.30	11.37	8.74	4.53	1.73
95.00	15.09	11.35	8.48	4.26	1.49
95.00	15.47	11.51	9.34	4.77	1.94
95.00	15.32	11.40	8.72	4.45	1.53
95.00	15.23	11.49	8.75	4.42	1.74
95.00	15.35	11.32	8.79	4.57	1.84
95.00	15.29	11.25	8.65	4.54	1.81
95.00	15.07	11.32	8.39	4.50	1.83
95.00	15.16	11.28	8.87	4.36	1.64
95.00	14.93	11.20	8.64	4.50	1.75
95.00	14.55	10.88	8.19	4.40	1.94
95.00	15.39	11.23	8.54	4.20	1.75
95.00	15.42	11.72	9.00	4.72	1.71
95.00	14.92	10.94	8.59	4.54	1.66
95.00	15.24	11.26	8.61	4.60	1.80
95.00	14.93	11.25	8.50	4.82	1.80
95.00	15.29	11.26	8.54	4.59	1.80
95.00	15.09	11.06	8.72	4.42	1.91
95.00	15.22	11.25	8.82	4.41	1.86
95.00	15.44	11.27	8.53	4.56	1.65
95.00	14.94	11.20	8.67	4.39	1.80
95.00	15.13	11.39	8.92	4.62	1.75
95.00	14.68	11.13	8.76	4.49	1.83
95.00	15.04	11.13	8.55	4.37	1.68
95.00	15.41	11.10	8.17	4.45	1.70
95.00	15.20	11.43	8.51	4.51	1.80
95.00	14.97	11.27	8.55	4.53	1.73
95.00	14.91	11.24	8.73	4.57	2.07
95.00	15.02	11.06	8.52	4.52	1.71
95.00	15.35	11.18	8.85	4.15	1.78
95.00	15.37	11.39	8.71	4.68	1.68
95.00	15.59	11.67	8.60	4.68	1.82
95.00	15.45	11.20	8.67	4.37	1.72
95.00	15.00	11.10	8.69	4.52	1.98
95.00	14.87	11.44	8.73	4.45	1.78
95.00	15.24	11.27	8.66	4.51	1.66
95.00	15.48	11.23	8.76	4.51	1.75
95.00	15.64	11.83	9.04	4.60	1.57
95.00	15.53	11.49	9.04	4.61	1.73
95.00	15.35	11.15	8.58	4.51	1.84
95.00	15.18	11.40	8.72	4.50	1.71
95.00	15.08	11.22	8.67	4.70	1.67
95.00	14.86	11.27	8.56	4.53	1.60
95.00	15.20	11.38	8.88	4.78	1.71
95.00	15.04	11.21	8.65	4.49	1.78
95.00	14.71	10.80	8.24	4.54	1.82
95.00	15.23	11.33	8.71	4.52	1.67
95.00	15.16	11.34	8.58	4.32	1.72
95.00	15.22	11.32	8.75	4.51	1.77
95.00	14.92	11.03	8.82	4.41	1.72
95.00	15.11	11.19	8.66	4.38	1.70
95.00	15.20	11.18	8.81	4.52	1.77
95.00	15.11	11.09	8.41	4.27	1.88
95.00	15.14	11.40	8.86	4.47	1.81
95.00	15.43	11.47	8.65	4.63	1.77
95.00	15.10	10.97	8.49	4.39	1.79
95.00	15.32	11.16	8.51	4.26	1.92
95.00	14.85	10.93	8.35	4.53	1.81
95.00	14.83	11.40	8.84	4.56	1.62
95.00	14.73	10.79	8.08	4.51	1.62
95.00	15.34	11.36	8.39	4.33	1.76
95.00	15.30	11.35	8.93	4.44	1.56
95.00	15.22	10.97	8.36	4.40	1.64
95.00	15.21	11.14	8.52	4.59	1.71
95.00	15.36	11.30	8.86	4.49	1.72
95.00	15.02	11.04	8.60	4.57	1.74
95.00	15.86	11.50	8.57	4.71	1.58
95.00	15.49	11.28	8.89	4.29	1.78
95.00	15.55	11.42	8.70	4.53	1.52
95.00	15.22	11.11	8.82	4.43	1.83
95.00	15.59	11.45	8.71	4.49	1.76
95.00	14.87	11.21	8.54	4.40	1.70
95.00	15.05	11.22	8.79	4.39	1.76
95.00	15.18	11.31	8.74	4.52	1.60
95.00	15.30	11.21	8.55	4.45	1.70
95.00	15.32	11.57	9.20	4.75	1.86
95.00	15.15	11.43	8.76	4.46	1.74
95.00	15.03	10.99	8.70	4.20	1.86
95.00	15.20	11.43	8.95	4.30	1.85
95.00	15.17	11.47	8.69	4.90	1.73
95.00	15.37	11.33	8.74	4.56	1.79
95.00	15.25	11.25	8.77	4.61	1.86
95.00	15.70	11.56	8.68	4.70	1.73
95.00	14.99	11.07	8.54	4.47	1.80
95.00	14.94	11.40	8.85	4.49	1.59
95.00	15.19	11.47	8.78	4.78	1.79
95.00	14.73	11.15	8.61	4.34	1.61
95.00	15.81	11.70	8.89	4.81	1.75
95.00	15.76	11.24	8.52	4.64	1.77
95.00	15.37	11.22	8.96	4.39	1.83
95.00	15.31	11.54	8.92	4.79	1.70
95.00	15.28	11.17	8.74	4.29	1.73
95.00	15.09	11.37	8.80	4.59	1.70
95.00	15.42	11.46	9.06	4.39	1.74
95.00	15.37	11.42	8.91	4.66	1.74
95.00	15.55	11.29	8.65	4.58	1.72
